puuid,region,league,summoner_name,matches,wins,kills,deaths,assists,losses,winrate,matches_month,kda,leaguePoints
-AExo7lJ-JCcujhxOZR7WCwswznO8rhLNzRL_dqIMUx5RRMlqSjG5L1HoOyz_epnUf27Z9jr1C7rIw,na,grandmaster,,2,0,12.5,10.5,13.5,2,0.0,2,2.4761904761904763,
-BF9soCLppnaiSGeb5olQ5h6t2ic9LdCYOH4MPCIEshB-c9VvhCxKA70C6wwoK1IWxgk6ykTpIMYSA,na,challenger,,2,2,8.0,9.0,17.5,0,1.0,2,2.833333333333333,
-BnKKt2LeoLnQ7d0e6jCI4hDNuBmza8hSiLj1vyOYL9gjoXlWfuH6Rc9V6c9udF72QUOBFI5zTP23g,euw,challenger,,1,1,14.0,4.0,18.0,0,1.0,1,8.0,
-Bz93L2Tcn8jV-2jedathdw4Znij-o9kurNqS7mkzFI5Ozq73ULLtclND8x08XY2VCCSMXDK-CGR6w,na,challenger,,1,0,7.0,8.0,9.0,1,0.0,1,2.0,
-CIOdHbNMhF4N0MGsbqqVwqv9TLqC9cKRscWSTzUHQejNIykUd-eEXnKENdpDl-CzwfewHraGmoadw,na,challenger,,2,1,5.0,10.0,5.5,1,0.5,4,1.05,
-DZOKpNPgi22EYj2xiVmLwfyxgOsb6Tb28Qf2aXeGdjG0HDCQqRTAVCtvFjj0WoRPAiMLrpcUU4jww,euw,master,,1,0,7.0,9.0,7.0,1,0.0,1,1.5555555555555556,
-Df6ImyeRJeX3hbMYZyldYH9M6-jly4VT5ReZ2VKEZOWXGYTlKxtg0YFc_2Km3Mf61H3IKewSUP-Ww,na,grandmaster,,1,0,2.0,6.0,5.0,1,0.0,2,1.1666666666666667,
-ESNu0Xhip6aSYPHG-UhKKHQ5C1mbqLZNMzeTATsFql5QP82dHn60hJIixSjRnbodjC4d9BtASyRUQ,euw,challenger,,1,1,8.0,9.0,12.0,0,1.0,1,2.2222222222222223,
-EYhFPgjD0nv0WqskxSyUpCmhvEFbrv1MhXn05O7aIhBm6yBJ0XtDyzQwNJEExhAP7fh5ddLzgoEAQ,na,challenger,,5,3,3.8,5.4,15.2,2,0.6,5,3.518518518518518,1009.0
-GPMl3HrVg7_wQxM2-2-NkhtislzOVvL5REdX0dZmbzxhW9BDajBoeeVFEAGmSNvfX49vwrLwOc5Uw,euw,challenger,,3,0,1.0,5.666666666666667,9.333333333333334,3,0.0,3,1.8235294117647056,
-GQqR4vkCXfoQ1vhfHPjDTcCRBrTbrZxcBxC9msPsfBw7Ob00O7ILZyEJH7MTomIppR9aSP-i-MKdA,na,master,,2,2,1.0,9.0,11.0,0,1.0,2,1.3333333333333333,
-HQFJQi7K83767jSsW7rFJP5LGAY-0uoQ77EHaunlQ8arVseO-pa4f5c3rgQxxyyNY3sM4ygR0_HUA,na,challenger,,5,3,9.8,6.8,12.2,2,0.6,5,3.235294117647059,
-HVy6Osjvbs_rnlj0sfoeRb2DSr1iDDyV6gAjW31tZLKytW1bhzsDS20-FUK-uyOcq4vECbc6_tVfA,na,challenger,,3,2,1.0,3.0,12.333333333333334,1,0.6666666666666666,4,4.444444444444445,
-HcvXBgO1HlJOkNCZaBod4ZXQcQY6OD6unBIRKpz0_CiB8RnvejGh6Q-rCmqqYj_ulhA-YSu53ec8g,na,challenger,,3,3,16.666666666666668,4.333333333333333,9.666666666666666,0,1.0,3,6.0769230769230775,1501.0
-Hgb245Ebx7lcUrbF1vaiX_Y4to1p6Q76R765HagnTjH84EbMhSbZSn5ELN1Wn1k9SuT1ay_mgl5kQ,euw,grandmaster,,1,0,6.0,5.0,3.0,1,0.0,1,1.8,
-HuLzfJGOZkkIHn8mtr0G_Z3CkKLNrU5k2602Lp1m2I0LzYC52GMeIETXKTX4rEMFeyJ8FYqs9u_6g,na,master,,2,1,6.5,2.5,4.5,1,0.5,2,4.4,
-ICEI5522Hs1mEKLL0XcxSNr9XcexTU6LCrkEXKwz7jFkiUBMUSvG8evglCcDF3-6pxH1xKuitNtUA,euw,grandmaster,,1,1,6.0,1.0,13.0,0,1.0,1,19.0,
-IO228-OFlVxOp_4hEbTJqts1_tB4cNh6zYY3_COiNiDeHMDlKc7b0zITmdRwPPM8tr6jEVsYZlUaQ,euw,grandmaster,,1,1,6.0,10.0,15.0,0,1.0,1,2.1,
-IP_3ZjsWG3eHWnoZlkavNHLtRBMmhqF548aPBYq4YDhkTU9MPpN_NUgc2f_Gj6ntlOrwNTg3chQRA,euw,grandmaster,,1,0,3.0,9.0,18.0,1,0.0,1,2.333333333333333,
-JWwRHaTkX_h0YzDcnu3wnUXbDTFk_LZZpl18Wf9YoleIDHYw_fnLyGgyJeetIPD1FxLnqZtlohL9w,euw,master,,1,0,2.0,7.0,7.0,1,0.0,1,1.2857142857142858,
-KAI0V1Ocseyn4QPIlWifjHdgn-H8IPDZFUKovzzNwtpFD5wnooOAhYatdoMwwmL4VK3p91onNblug,na,grandmaster,,1,0,14.0,9.0,12.0,1,0.0,1,2.888888888888889,
